,주제,설명,활동,역할,비고
1,웜업,자신의 시와 사물·공간의 시를 맞이하기 위한 몸·맘·정신·영의 맛사지 훈련.,-,-,-
2,"공간, 오브제와의 만남",우리 주변의 공간과 사물을 새로운 시선으로 맞이하며 그들과 내밀히 소통하기 위한 여러 연극적 훈련.,-,-,-
3,시 쓰기,위의 훈련들을 통해 자연스레 고개를 드는 자신의 내면의 시 꺼내기.,-,-,-
4,시의 물질화,"쓰여진 시와 그 시를 쓰게 영감을 준 사물·공간 등의 재료들을 이용, ‘시의 물질화’로서의 공연물 만들기.",-,-,-
5,발표,발표의 형식을 통해 소통과 나눔에 대해 체험하고 그 의미를 토론하기.,-,-,-
