,주제,설명,활동,역할,비고
1,살아나는 미술품,"조각, 회화, 설치물 들이 우리의 몸과 결합해 살아나는 것을 체험",미술품과 몸이 하나되는 체험,"고정되어 있는 미술품이 아닌, 움직이는 미술품이 된다",활동하기 편안한 복장과 신발
2,나는 미술품이다,미술품들에서 환기되는 것들을 몸으로 자유롭게 표현하며 스스로 미술품 되기,내몸이 미술품이 되는 시간,"나는 물주머니다', '나는 조각이가' 등의 극놀이를 통해 우리의 몸이 미술품이 되어보기",활동하기 편안한 복장과 신발
3,맛사지 조각 만들기,조각의 모형이 될 사람에게 커다란 종이를 씌우고 온 몸을 맛사지 하기,맛사지 받는 사람과 하는 사람 사이의 교감을 느낀후 사람이 빠져나가고 종이조각 완성되기,종이 조각에 대한 다양한 느낌을 토론하기,다양한 종이조각들을 알맞은 공간에 전시하기
4,우리만의 미술관 만들기,우리 주변의 사물과 사람과 공간과 자연이 모두 미술품이 될 수 있음을 창의적인 즉흥놀이를 통해 체험하기,"몸과 주변의 사물, 공간을 활용해 우리만의 미술관을 만들기",우리만의 미술관 설립,다양한 아이디어와 도구의 활용
5,결과전시물,공간에 창조적으로 설치될 맛사지 조각들과 그외의 설치물들,-,-,-
